symbol,yahoo_ticker,exchange,name,sector,index_membership,is_active
RELIANCE,RELIANCE.NS,NSE,Reliance Industries Ltd,Oil Gas & Consumable Fuels,NIFTY50,TRUE
HDFCBANK,HDFCBANK.NS,NSE,HDFC Bank Ltd,Financial Services,NIFTY50,TRUE
BHARTIARTL,BHARTIARTL.NS,NSE,Bharti Airtel Ltd,Telecommunication,NIFTY50,TRUE
ICICIBANK,ICICIBANK.NS,NSE,ICICI Bank Ltd,Financial Services,NIFTY50,TRUE
SBIN,SBIN.NS,NSE,State Bank of India,Financial Services,NIFTY50,TRUE
TCS,TCS.NS,NSE,Tata Consultancy Services Ltd,Information Technology,NIFTY50,TRUE
BAJFINANCE,BAJFINANCE.NS,NSE,Bajaj Finance Ltd,Financial Services,NIFTY50,TRUE
LT,LT.NS,NSE,Larsen & Toubro Ltd,Construction,NIFTY50,TRUE
LICI,LICI.NS,NSE,Life Insurance Corporation of India,Financial Services,NIFTY50,TRUE
HINDUNILVR,HINDUNILVR.NS,NSE,Hindustan Unilever Ltd,Fast Moving Consumer Goods,NIFTY50,TRUE
INFY,INFY.NS,NSE,Infosys Ltd,Information Technology,NIFTY50,TRUE
ADANIPOWER,ADANIPOWER.NS,NSE,Adani Power Ltd,Power,NIFTY50,TRUE
SUNPHARMA,SUNPHARMA.NS,NSE,Sun Pharmaceutical Industries Ltd,Healthcare,NIFTY50,TRUE
ADANIPORTS,ADANIPORTS.NS,NSE,Adani Ports and Special Economic Zone Ltd,Services,NIFTY50,TRUE
MARUTI,MARUTI.NS,NSE,Maruti Suzuki India Ltd,Automobile and Auto Components,NIFTY50,TRUE
ADANIENT,ADANIENT.NS,NSE,Adani Enterprises Ltd,Metals & Mining,NIFTY50,TRUE
AXISBANK,AXISBANK.NS,NSE,Axis Bank Ltd,Financial Services,NIFTY50,TRUE
TITAN,TITAN.NS,NSE,Titan Company Ltd,Consumer Durables,NIFTY50,TRUE
KOTAKBANK,KOTAKBANK.NS,NSE,Kotak Mahindra Bank Ltd,Financial Services,NIFTY50,TRUE
ITC,ITC.NS,NSE,ITC Ltd,Fast Moving Consumer Goods,NIFTY50,TRUE
NTPC,NTPC.NS,NSE,NTPC Ltd,Power,NIFTY50,TRUE
M&M,M&M.NS,NSE,Mahindra & Mahindra Ltd,Automobile and Auto Components,NIFTY50,TRUE
ONGC,ONGC.NS,NSE,Oil and Natural Gas Corporation Ltd,Oil Gas & Consumable Fuels,NIFTY50,TRUE
ULTRACEMCO,ULTRACEMCO.NS,NSE,UltraTech Cement Ltd,Construction Materials,NIFTY50,TRUE
JSWSTEEL,JSWSTEEL.NS,NSE,JSW Steel Ltd,Metals & Mining,NIFTY50,TRUE
HCLTECH,HCLTECH.NS,NSE,HCL Technologies Ltd,Information Technology,NIFTY50,TRUE
COALINDIA,COALINDIA.NS,NSE,Coal India Ltd,Oil Gas & Consumable Fuels,NIFTY50,TRUE
BEL,BEL.NS,NSE,Bharat Electronics Ltd,Capital Goods,NIFTY50,TRUE
BAJAJ-AUTO,BAJAJ-AUTO.NS,NSE,Bajaj Auto Ltd,Automobile and Auto Components,NIFTY50,TRUE
HAL,HAL.NS,NSE,Hindustan Aeronautics Ltd,Capital Goods,NIFTY50,TRUE
BAJAJFINSV,BAJAJFINSV.NS,NSE,Bajaj Finserv Ltd,Financial Services,NIFTY50,TRUE
DMART,DMART.NS,NSE,Avenue Supermarts Ltd,Consumer Services,NIFTY50,TRUE
NESTLEIND,NESTLEIND.NS,NSE,Nestle India Ltd,Fast Moving Consumer Goods,NIFTY50,TRUE
POWERGRID,POWERGRID.NS,NSE,Power Grid Corporation of India Ltd,Power,NIFTY50,TRUE
TATASTEEL,TATASTEEL.NS,NSE,Tata Steel Ltd,Metals & Mining,NIFTY50,TRUE
ASIANPAINT,ASIANPAINT.NS,NSE,Asian Paints Ltd,Consumer Durables,NIFTY50,TRUE
ADANIGREEN,ADANIGREEN.NS,NSE,Adani Green Energy Ltd,Power,NIFTY50,TRUE
HINDALCO,HINDALCO.NS,NSE,Hindalco Industries Ltd,Metals & Mining,NIFTY50,TRUE
HINDZINC,HINDZINC.NS,NSE,Hindustan Zinc Ltd,Metals & Mining,NIFTY50,TRUE
ETERNAL,ETERNAL.NS,NSE,Eternal Ltd,Consumer Services,NIFTY50,TRUE
SHRIRAMFIN,SHRIRAMFIN.NS,NSE,Shriram Finance Ltd,Financial Services,NIFTY50,TRUE
GRASIM,GRASIM.NS,NSE,Grasim Industries Ltd,Construction Materials,NIFTY50,TRUE
WIPRO,WIPRO.NS,NSE,Wipro Ltd,Information Technology,NIFTY50,TRUE
EICHERMOT,EICHERMOT.NS,NSE,Eicher Motors Ltd,Automobile and Auto Components,NIFTY50,TRUE
IOC,IOC.NS,NSE,Indian Oil Corporation Ltd,Oil Gas & Consumable Fuels,NIFTY50,TRUE
ADANIENSOL,ADANIENSOL.NS,NSE,Adani Energy Solutions Ltd,Power,NIFTY50,TRUE
SBILIFE,SBILIFE.NS,NSE,SBI Life Insurance Company Ltd,Financial Services,NIFTY50,TRUE
VBL,VBL.NS,NSE,Varun Beverages Ltd,Fast Moving Consumer Goods,NIFTY50,TRUE
DIVISLAB,DIVISLAB.NS,NSE,Divi's Laboratories Ltd,Healthcare,NIFTY50,TRUE
INDIGO,INDIGO.NS,NSE,InterGlobe Aviation Ltd,Services,NIFTY50,TRUE
SOLARINDS,SOLARINDS.NS,NSE,Solar Industries India Ltd,Chemicals,NIFTYNEXT50,TRUE
POWERINDIA,POWERINDIA.NS,NSE,Hitachi Energy India Ltd,,NIFTYNEXT50,TRUE
IDEA,IDEA.NS,NSE,Vodafone Idea Ltd,,NIFTYNEXT50,TRUE
TVSMOTOR,TVSMOTOR.NS,NSE,TVS Motor Company Ltd,Automobile and Auto Components,NIFTYNEXT50,TRUE
ICICIAMC,ICICIAMC.NS,NSE,ICICI Prudential Asset Management Company Ltd,,NIFTYNEXT50,TRUE
CUMMINSIND,CUMMINSIND.NS,NSE,Cummins India Ltd,,NIFTYNEXT50,TRUE
BSE,BSE.NS,NSE,BSE Ltd,,NIFTYNEXT50,TRUE
JIOFIN,JIOFIN.NS,NSE,Jio Financial Services Ltd,Financial Services,NIFTYNEXT50,TRUE
HYUNDAI,HYUNDAI.NS,NSE,Hyundai Motor India Ltd,Automobile and Auto Components,NIFTYNEXT50,TRUE
ABB,ABB.NS,NSE,ABB India Ltd,Capital Goods,NIFTYNEXT50,TRUE
MOTHERSON,MOTHERSON.NS,NSE,Samvardhana Motherson International Ltd,Automobile and Auto Components,NIFTYNEXT50,TRUE
PIDILITIND,PIDILITIND.NS,NSE,Pidilite Industries Ltd,Chemicals,NIFTYNEXT50,TRUE
TORNTPHARM,TORNTPHARM.NS,NSE,Torrent Pharmaceuticals Ltd,Healthcare,NIFTYNEXT50,TRUE
TRENT,TRENT.NS,NSE,Trent Ltd,Consumer Services,NIFTYNEXT50,TRUE
CGPOWER,CGPOWER.NS,NSE,CG Power and Industrial Solutions Ltd,Capital Goods,NIFTYNEXT50,TRUE
TMPV,TMPV.NS,NSE,Tata Motors Passenger Vehicles Ltd,Automobile and Auto Components,NIFTYNEXT50,TRUE
POLYCAB,POLYCAB.NS,NSE,Polycab India Ltd,,NIFTYNEXT50,TRUE
DLF,DLF.NS,NSE,DLF Ltd,Realty,NIFTYNEXT50,TRUE
PFC,PFC.NS,NSE,Power Finance Corporation Ltd,Financial Services,NIFTYNEXT50,TRUE
BANKBARODA,BANKBARODA.NS,NSE,Bank of Baroda Ltd,Financial Services,NIFTYNEXT50,TRUE
TMCV,TMCV.NS,NSE,Tata Motors Ltd,,NIFTYNEXT50,TRUE
BHEL,BHEL.NS,NSE,Bharat Heavy Electricals Ltd,,NIFTYNEXT50,TRUE
TATACAP,TATACAP.NS,NSE,Tata Capital Ltd,,NIFTYNEXT50,TRUE
SIEMENS,SIEMENS.NS,NSE,Siemens Ltd,Capital Goods,NIFTYNEXT50,TRUE
TECHM,TECHM.NS,NSE,Tech Mahindra Ltd,Information Technology,NIFTYNEXT50,TRUE
TATAPOWER,TATAPOWER.NS,NSE,Tata Power Company Ltd,Power,NIFTYNEXT50,TRUE
ENRIN,ENRIN.NS,NSE,Siemens Energy India Ltd,Capital Goods,NIFTYNEXT50,TRUE
GVT_D,GVT_D.NS,NSE,GE Vernova T&D India Ltd,,NIFTYNEXT50,TRUE
CHOLAFIN,CHOLAFIN.NS,NSE,Cholamandalam Investment and Finance Company Ltd,Financial Services,NIFTYNEXT50,TRUE
BPCL,BPCL.NS,NSE,Bharat Petroleum Corporation Ltd,Oil Gas & Consumable Fuels,NIFTYNEXT50,TRUE
UNIONBANK,UNIONBANK.NS,NSE,Union Bank of India,,NIFTYNEXT50,TRUE
MUTHOOTFIN,MUTHOOTFIN.NS,NSE,Muthoot Finance Ltd,,NIFTYNEXT50,TRUE
IRFC,IRFC.NS,NSE,Indian Railway Finance Corporation Ltd,Financial Services,NIFTYNEXT50,TRUE
HDFCLIFE,HDFCLIFE.NS,NSE,HDFC Life Insurance Company Ltd,Financial Services,NIFTYNEXT50,TRUE
BRITANNIA,BRITANNIA.NS,NSE,Britannia Industries Ltd,Fast Moving Consumer Goods,NIFTYNEXT50,TRUE
VEDL,VEDL.NS,NSE,Vedanta Ltd,Metals & Mining,NIFTYNEXT50,TRUE
CANBK,CANBK.NS,NSE,Canara Bank,Financial Services,NIFTYNEXT50,TRUE
GROWW,GROWW.NS,NSE,Billionbrains Garage Ventures Ltd,,NIFTYNEXT50,TRUE
PNB,PNB.NS,NSE,Punjab National Bank,Financial Services,NIFTYNEXT50,TRUE
JINDALSTEL,JINDALSTEL.NS,NSE,Jindal Steel Ltd,Metals & Mining,NIFTYNEXT50,TRUE
LTM,LTM.NS,NSE,LTM Ltd,,NIFTYNEXT50,TRUE
