symbol,yahoo_ticker,exchange,name,sector,index_membership,is_active
ADANIENT,ADANIENT.NS,NSE,Adani Enterprises,Metals & Mining,NIFTY50,true
ADANIPORTS,ADANIPORTS.NS,NSE,Adani Ports & SEZ,Services,NIFTY50,true
APOLLOHOSP,APOLLOHOSP.NS,NSE,Apollo Hospitals,Healthcare,NIFTY50,true
ASIANPAINT,ASIANPAINT.NS,NSE,Asian Paints,Consumer Durables,NIFTY50,true
AXISBANK,AXISBANK.NS,NSE,Axis Bank,Financial Services,NIFTY50,true
BAJAJ-AUTO,BAJAJ-AUTO.NS,NSE,Bajaj Auto,Automobile and Auto Components,NIFTY50,true
BAJFINANCE,BAJFINANCE.NS,NSE,Bajaj Finance,Financial Services,NIFTY50,true
BAJAJFINSV,BAJAJFINSV.NS,NSE,Bajaj Finserv,Financial Services,NIFTY50,true
BEL,BEL.NS,NSE,Bharat Electronics,Capital Goods,NIFTY50,true
BHARTIARTL,BHARTIARTL.NS,NSE,Bharti Airtel,Telecommunication,NIFTY50,true
CIPLA,CIPLA.NS,NSE,Cipla,Healthcare,NIFTY50,true
COALINDIA,COALINDIA.NS,NSE,Coal India,Oil Gas & Consumable Fuels,NIFTY50,true
DRREDDY,DRREDDY.NS,NSE,Dr. Reddy's Laboratories,Healthcare,NIFTY50,true
EICHERMOT,EICHERMOT.NS,NSE,Eicher Motors,Automobile and Auto Components,NIFTY50,true
ETERNAL,ETERNAL.NS,NSE,Eternal,Consumer Services,NIFTY50,true
GRASIM,GRASIM.NS,NSE,Grasim Industries,Construction Materials,NIFTY50,true
HCLTECH,HCLTECH.NS,NSE,HCLTech,Information Technology,NIFTY50,true
HDFCBANK,HDFCBANK.NS,NSE,HDFC Bank,Financial Services,NIFTY50,true
HDFCLIFE,HDFCLIFE.NS,NSE,HDFC Life,Financial Services,NIFTY50,true
HINDALCO,HINDALCO.NS,NSE,Hindalco Industries,Metals & Mining,NIFTY50,true
HINDUNILVR,HINDUNILVR.NS,NSE,Hindustan Unilever,Fast Moving Consumer Goods,NIFTY50,true
ICICIBANK,ICICIBANK.NS,NSE,ICICI Bank,Financial Services,NIFTY50,true
INDIGO,INDIGO.NS,NSE,IndiGo,Services,NIFTY50,true
INFY,INFY.NS,NSE,Infosys,Information Technology,NIFTY50,true
ITC,ITC.NS,NSE,ITC,Fast Moving Consumer Goods,NIFTY50,true
JIOFIN,JIOFIN.NS,NSE,Jio Financial Services,Financial Services,NIFTY50,true
JSWSTEEL,JSWSTEEL.NS,NSE,JSW Steel,Metals & Mining,NIFTY50,true
KOTAKBANK,KOTAKBANK.NS,NSE,Kotak Mahindra Bank,Financial Services,NIFTY50,true
LT,LT.NS,NSE,Larsen & Toubro,Construction,NIFTY50,true
M&M,M&M.NS,NSE,Mahindra & Mahindra,Automobile and Auto Components,NIFTY50,true
MARUTI,MARUTI.NS,NSE,Maruti Suzuki,Automobile and Auto Components,NIFTY50,true
MAXHEALTH,MAXHEALTH.NS,NSE,Max Healthcare,Healthcare,NIFTY50,true
NESTLEIND,NESTLEIND.NS,NSE,Nestle India,Fast Moving Consumer Goods,NIFTY50,true
NTPC,NTPC.NS,NSE,NTPC,Power,NIFTY50,true
ONGC,ONGC.NS,NSE,Oil and Natural Gas Corporation,Oil Gas & Consumable Fuels,NIFTY50,true
POWERGRID,POWERGRID.NS,NSE,Power Grid,Power,NIFTY50,true
RELIANCE,RELIANCE.NS,NSE,Reliance Industries,Oil Gas & Consumable Fuels,NIFTY50,true
SBILIFE,SBILIFE.NS,NSE,SBI Life Insurance Company,Financial Services,NIFTY50,true
SHRIRAMFIN,SHRIRAMFIN.NS,NSE,Shriram Finance,Financial Services,NIFTY50,true
SBIN,SBIN.NS,NSE,State Bank of India,Financial Services,NIFTY50,true
SUNPHARMA,SUNPHARMA.NS,NSE,Sun Pharma,Healthcare,NIFTY50,true
TCS,TCS.NS,NSE,Tata Consultancy Services,Information Technology,NIFTY50,true
